"Sample,Name",Group,Th,Al,K,Ca,Sc,Ti,Mn,Fe,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,Sr,Y,Mo,Pd,I,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,Mg
S1_R1 H2 PMC,pm,0.02708,39.72459,35053.36507,39251.80633,0.64393,7.98960,526.59013,362.04388,3.34493,53.88269,414.07205,2.40176,0.47881,7.19293,57.92509,133.77183,408.53500,0.09324,9.23351,0.13949,10.21923,83.85797,0.10209,0.19713,0.01940,0.06252,0.04904,0.01229,0.02372,0.00513,0.02791,0.00671,0.01779,0.00647,0.04051,0.00745,0.00605,30529.14944
S1_R1 H3 BHBC/M/1,bhb,0.04832,47.83223,30145.23329,69198.27898,0.51939,5.46568,471.84012,437.01493,2.39552,39.08604,1216.00838,15.69957,0.35380,9.06457,34.68597,47.82819,853.02817,0.05267,0.95122,0.31990,14.67991,517.85829,0.09350,0.19610,0.00831,0.04193,0.02052,0.04545,0.03429,0.00347,0.02443,0.00636,0.01301,0.00197,0.01353,0.00270,0.00205,41679.44246
S1_R5 H3 BHBC/M/2,bhb,0.03053,42.10608,39063.29018,68765.71205,0.66041,6.23205,384.42766,537.81946,3.35863,37.35878,1181.97664,15.84679,0.33034,4.75073,55.16524,39.21177,753.73648,0.07225,1.21763,0.22066,16.85063,471.61790,0.12030,0.11263,0.01419,0.04022,0.04591,0.05717,0.03122,0.00633,0.01901,0.00358,0.01739,0.00822,0.02746,0.01011,0.01875,42109.58596
S1_R1 H3 PMC/M/1,pm,0.03776,38.89603,28510.69803,52643.95314,0.78155,9.64349,534.65926,417.37100,3.70988,143.36237,326.25294,4.14683,0.71210,6.16467,55.51533,104.89312,472.54015,0.09157,13.63285,0.15593,24.21624,119.29069,0.11514,0.16808,0.01640,0.09336,0.03316,0.02188,0.04580,0.00506,0.02333,0.00429,0.02330,0.00480,0.04180,0.00720,0.00076,37767.54371
S1_R5 H3 PMC/M/2,pm,0.01852,29.56492,35602.08931,56333.78870,0.74600,12.48153,516.56238,506.48617,2.92420,57.87117,442.99580,3.71147,0.17641,9.42315,37.08609,127.20323,520.22337,0.09057,13.54089,0.08274,21.87696,104.86615,0.11463,0.31364,0.01902,0.08419,0.06821,0.01679,0.06181,0.01070,0.02138,0.01273,0.01938,0.01110,0.03819,0.00745,0.01430,31204.97486
S1_R1 H4 BHB2/M,bhb,0.02913,57.06867,29333.07716,58075.16080,0.82811,7.35159,292.37685,604.97934,2.70316,46.06325,1101.33805,12.70124,0.76164,7.95700,39.00581,38.61302,815.68634,0.05071,1.14679,0.33400,14.65971,480.82355,0.10482,0.12910,0.01786,0.07455,0.03295,0.05090,0.06522,0.00818,0.02772,0.00857,0.02333,0.00600,0.02447,0.00658,0.01628,38850.64336
S1_R1 H4 BHB5/M,bhb,0.01715,51.79175,30460.85480,70124.62327,0.74194,6.48754,291.81208,501.48784,2.17455,56.71887,1357.55396,10.76467,0.91166,8.24031,39.18723,48.38314,734.87224,0.08913,0.76052,0.25422,16.59791,490.86143,0.11322,0.11066,0.02322,0.06693,0.03875,0.05005,0.05192,0.00689,0.02498,0.00871,0.02084,0.00757,0.05684,0.01365,0.00505,37677.30292
S1_R1 H4 PM2/M,pm,0.03329,26.16083,33860.87148,42222.05860,0.84445,9.98059,463.31651,366.61755,3.80374,103.97921,464.31547,2.25266,0.73152,7.84431,29.18503,146.69453,406.20289,0.10302,11.18473,0.12209,11.43488,104.24863,0.07339,0.12061,0.01845,0.10306,0.07266,0.01751,0.05782,0.00638,0.03490,0.01003,0.01606,0.00681,0.03395,0.01064,0.00659,34199.54833
S1_R1 H4 PM4/M,pm,0.06459,31.32659,37767.13049,56290.01135,0.84777,9.72747,357.15516,506.00647,2.98342,196.13056,353.54432,2.13821,0.38290,8.16667,30.20493,139.97963,513.95335,0.10025,12.38867,0.15454,17.99063,106.94399,0.09485,0.18319,0.02173,0.09171,0.07771,0.02251,0.06709,0.00807,0.05051,0.01275,0.04506,0.01186,0.04400,0.00695,0.00218,38461.01958
S1_R1 H4 PM5/M1,pm,0.09172,30.43522,36488.70470,35030.91313,0.80125,6.81206,423.01161,590.71682,4.43270,51.22036,500.52565,2.05761,1.20400,9.05526,26.75148,126.32325,338.15271,0.07019,8.48639,0.14170,20.21642,97.16737,0.11002,0.18528,0.01786,0.07524,0.04537,0.02770,0.03891,0.00769,0.03964,0.01161,0.03972,0.00613,0.03653,0.01512,0.01641,25703.32814
S1_R1 H4 PM5/M2,pm,0.03881,27.53998,33038.57398,35102.67756,0.71209,9.39721,563.41637,445.42580,3.30748,90.47613,576.89762,1.92677,0.74209,7.19819,35.01476,122.99349,357.28804,0.08929,7.31573,0.14419,12.97121,57.28106,0.11065,0.18210,0.01846,0.07264,0.06916,0.02303,0.06512,0.00860,0.03856,0.00812,0.01963,0.01086,0.04336,0.01304,0.00992,26569.59815
