SampleName,Group,Mg,Al,K,Ca,Sc,Ti,Mn,Fe,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,Sr,Y,Mo,Pd,I,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,Th
S2_R4 H5 PM1/1,potting mix,27000.00000,25.00000,19000.00000,23000.00000,0.76000,8.50000,930.00000,420.00000,1.90000,49.00000,280.00000,1.50000,0.73000,7.90000,20.00000,77.00000,220.00000,0.09500,4.90000,0.08800,8.60000,70.00000,0.10000,0.11000,0.01600,0.09400,0.04800,0.02400,0.05900,0.00690,0.03400,0.01400,0.01700,0.00700,0.03800,0.00590,0.00630,0.01900
S2_R4 H5 PM1/2,potting mix,27000.00000,29.00000,17000.00000,23000.00000,0.74000,8.50000,890.00000,410.00000,2.30000,46.00000,270.00000,1.50000,0.45000,7.70000,17.00000,72.00000,230.00000,0.05300,3.90000,0.08500,8.40000,73.00000,0.10000,0.14000,0.02100,0.06400,0.05400,0.01800,0.04500,0.00720,0.05000,0.00890,0.02000,0.00770,0.02700,0.00930,0.00610,0.04300
S2_R4 H5 PM1/3,potting mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_R4 H5 PM2/1,potting mix,27000.00000,28.00000,18000.00000,18000.00000,0.73000,10.00000,1200.00000,610.00000,2.10000,240.00000,330.00000,1.70000,0.69000,7.20000,56.00000,85.00000,220.00000,0.03700,5.50000,0.21000,6.40000,72.00000,0.07000,0.08500,0.01800,0.07200,0.03400,0.01700,0.05100,0.00380,0.01800,0.00740,0.01800,0.00850,0.02800,0.01200,0.00610,0.06100
S2_R4 H5 PM2/2,potting mix,23000.00000,26.00000,20000.00000,20000.00000,0.70000,8.20000,1000.00000,470.00000,1.90000,56.00000,310.00000,1.40000,0.54000,3.20000,55.00000,74.00000,210.00000,0.06700,4.70000,0.11000,5.70000,59.00000,0.10000,0.11000,0.01700,0.07400,0.05800,0.01600,0.06400,0.00880,0.03500,0.00790,0.01900,0.00870,0.05200,0.00980,0.00890,0.01100
S2_R4 H5 PM2/3,potting mix,23000.00000,28.00000,23000.00000,22000.00000,0.80000,8.20000,970.00000,420.00000,2.20000,53.00000,340.00000,1.30000,0.44000,5.30000,21.00000,85.00000,210.00000,0.07000,6.50000,0.24000,5.80000,56.00000,0.12000,0.15000,0.02700,0.06700,0.04800,0.01300,0.05500,0.00630,0.02600,0.01000,0.02000,0.00810,0.06000,0.00660,0.00930,0.03100
S2_R4 H5 PM3/1,potting mix,22000.00000,25.00000,21000.00000,20000.00000,0.68000,9.90000,770.00000,360.00000,1.80000,49.00000,250.00000,1.40000,0.50000,14.00000,27.00000,88.00000,200.00000,0.05700,4.00000,0.11000,7.20000,61.00000,0.09200,0.10000,0.01700,0.08300,0.04100,0.01500,0.04400,0.00400,0.03300,0.00760,0.02400,0.00650,0.03700,0.01000,0.00920,0.01800
S2_R4 H5 PM3/2,potting mix,25000.00000,31.00000,22000.00000,22000.00000,0.86000,10.00000,840.00000,370.00000,1.50000,52.00000,240.00000,1.60000,0.41000,3.80000,23.00000,90.00000,230.00000,0.09000,3.80000,0.12000,10.00000,65.00000,0.10000,0.13000,0.01700,0.07100,0.05200,0.02600,0.04700,0.00870,0.04500,0.00840,0.03000,0.00880,0.03300,0.00850,0.00300,0.00610
S2_R4 H5 PM3/3,potting mix,26000.00000,29.00000,21000.00000,26000.00000,0.75000,9.90000,800.00000,400.00000,2.60000,53.00000,230.00000,1.50000,0.43000,8.40000,61.00000,86.00000,250.00000,0.09000,3.50000,0.17000,10.00000,65.00000,0.12000,0.15000,0.02000,0.10000,0.07200,0.01800,0.03600,0.00940,0.03600,0.01000,0.02100,0.00800,0.03400,0.00870,0.01200,0.03100
S2_R4 H5 PM5/1,potting mix,27000.00000,23.00000,17000.00000,19000.00000,0.69000,13.00000,1200.00000,540.00000,2.30000,56.00000,310.00000,1.60000,0.50000,5.50000,29.00000,76.00000,210.00000,0.03700,5.50000,0.08200,5.50000,64.00000,0.08200,0.24000,0.02000,0.06800,0.03500,0.01900,0.04500,0.00740,0.02700,0.00830,0.01500,0.00600,0.05200,0.00740,0.00590,0.03500
S2_R4 H5 PM5/2,potting mix,28000.00000,43.00000,18000.00000,28000.00000,0.78000,8.40000,980.00000,470.00000,2.40000,46.00000,320.00000,1.10000,0.64000,9.00000,21.00000,67.00000,240.00000,0.08500,5.70000,0.02800,11.00000,60.00000,0.12000,0.15000,0.02200,0.09100,0.05300,0.02000,0.04800,0.00740,0.03100,0.00780,0.02200,0.00340,0.03900,0.01100,0.00610,0.01200
S2_R4 H5 PM5/3,potting mix,28000.00000,34.00000,18000.00000,27000.00000,0.78000,8.70000,930.00000,520.00000,1.80000,53.00000,340.00000,1.20000,0.44000,5.60000,22.00000,72.00000,240.00000,0.10000,4.10000,0.04500,10.00000,55.00000,0.12000,0.17000,0.02500,0.10000,0.03100,0.01800,0.04800,0.00820,0.03000,0.01000,0.03500,0.00510,0.03700,0.00910,0.00320,0.01300
S2_R5 H5 BHB1/1,bhb,44000.00000,48.00000,21000.00000,76000.00000,0.79000,5.90000,390.00000,620.00000,3.50000,50.00000,1900.00000,13.00000,0.53000,6.20000,43.00000,25.00000,890.00000,0.06700,0.49000,0.32000,12.00000,560.00000,0.10000,0.11000,0.01400,0.07000,0.04500,0.06300,0.05500,0.00750,0.03100,0.00760,0.02300,0.00670,0.02900,0.00850,0.00660,0.00660
S2_R5 H5 BHB2/1,bhb,36000.00000,63.00000,15000.00000,63000.00000,0.68000,2.10000,240.00000,430.00000,2.70000,36.00000,1100.00000,11.00000,0.51000,8.40000,29.00000,17.00000,770.00000,0.05000,0.54000,0.17000,10.00000,490.00000,0.09300,0.10000,0.00930,0.04500,0.04500,0.04200,0.06400,0.00600,0.01900,0.00840,0.02100,0.00720,0.02400,0.00680,0.00950,0.01200
S2_R5 H5 BHB3/1,bhb,53000.00000,83.00000,22000.00000,77000.00000,0.85000,5.40000,330.00000,560.00000,3.40000,48.00000,1600.00000,13.00000,0.34000,5.80000,29.00000,24.00000,890.00000,0.08600,0.30000,0.31000,12.00000,560.00000,0.14000,0.14000,0.01800,0.05900,0.05800,0.05600,0.03500,0.00770,0.05100,0.00780,0.03800,0.00630,0.02300,0.00840,0.01000,0.02000
S2_R5 H5 BHB3/2,bhb,56000.00000,75.00000,19000.00000,81000.00000,0.68000,3.90000,310.00000,540.00000,2.20000,35.00000,1600.00000,14.00000,0.38000,6.30000,34.00000,20.00000,910.00000,0.05600,0.60000,0.15000,15.00000,540.00000,0.22000,0.25000,0.03100,0.09900,0.05300,0.04900,0.05500,0.00410,0.03100,0.00800,0.02800,0.01000,0.02700,0.00800,0.00310,0.00000
S2_R5 H5 BHB4/1,bhb,30000.00000,46.00000,14000.00000,44000.00000,0.71000,7.20000,360.00000,470.00000,2.70000,49.00000,1000.00000,8.30000,0.42000,6.60000,29.00000,21.00000,510.00000,0.02400,0.53000,0.18000,12.00000,330.00000,0.07900,0.09500,0.01400,0.06300,0.05600,0.03200,0.04300,0.00490,0.01900,0.00750,0.02100,0.00580,0.02900,0.00850,0.01200,0.01200
S2_R5 H5 BHB5/1,bhb,44000.00000,56.00000,20000.00000,76000.00000,0.83000,4.80000,490.00000,640.00000,2.80000,43.00000,1700.00000,13.00000,0.89000,5.50000,63.00000,23.00000,880.00000,0.05000,0.68000,0.24000,10.00000,580.00000,0.10000,0.11000,0.01600,0.08500,0.04200,0.05500,0.04000,0.00610,0.02600,0.01000,0.02300,0.00840,0.04400,0.01600,0.00000,0.05600
S2_R5 H5 BHB5/2,bhb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
