Sample.Name,Group,Mg,Al,K,Ca,Sc,Ti,Mn,Fe,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,Sr,Y,Mo,Pd,I,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,Th
S3_R1 H4 PM4/M,pm,38375.47347,24.35262,32447.76051,53208.98292,0.84496,10.84840,476.79492,523.01573,2.83828,136.77756,311.68289,2.38991,0.71737,8.36706,36.87138,136.01753,578.55125,0.10366,10.80009,0.13957,21.68135,140.08588,0.09689,0.14178,0.02378,0.08640,0.07385,0.02191,0.06189,0.00861,0.04921,0.01166,0.03954,0.00836,0.05063,0.00875,0.00226,0.05666
S3_R1 H4 PM5/M1,pm,26193.24048,28.39370,48747.66017,41239.49921,0.88165,6.81950,583.98920,663.34143,3.47742,83.67339,497.04378,1.90433,1.60713,10.03253,43.04433,131.42096,342.57657,0.09043,10.43385,0.19379,16.66978,70.55214,0.10826,0.14833,0.01784,0.07967,0.03433,0.02764,0.05868,0.00658,0.04427,0.00980,0.03051,0.00909,0.04100,0.01536,0.01891,0.06035
S3_R1 H4 PM5/M2,pm,29958.08168,28.48972,33832.88144,37434.53746,0.72511,9.46884,885.55712,532.73339,2.01841,66.67570,512.57325,2.17386,0.74765,7.79847,35.11101,131.95376,361.66874,0.07284,7.40953,0.12421,14.75511,57.71421,0.11245,0.17467,0.02307,0.06805,0.06189,0.02365,0.05249,0.00538,0.03313,0.00776,0.01855,0.01126,0.05047,0.01136,0.00631,0.02259
S3_R3 H4 BHBC/F/1,bhb,45282.12042,65.07608,40714.63643,51120.69676,0.88405,7.16586,286.82783,488.84749,3.10865,47.10061,1608.42713,9.62688,0.78170,7.26167,40.71518,46.42695,620.38374,0.06209,1.09138,0.29728,11.14483,519.34257,0.10911,0.09280,0.01657,0.05251,0.03886,0.04253,0.05169,0.00724,0.03144,0.01238,0.02088,0.00723,0.02535,0.01073,0.03178,0.04447
S3_R5 H4 BHBC/F/2,bhb,42596.41459,50.99664,32778.01717,73338.73185,0.63051,7.13895,342.58691,643.89819,2.98418,39.64013,1212.38005,10.97898,0.77819,11.29673,40.57709,44.93549,760.68060,0.05897,1.29907,0.37479,19.31232,486.81655,0.08615,0.11422,0.01214,0.08870,0.05423,0.05379,0.06009,0.00629,0.04609,0.01267,0.02587,0.00976,0.03822,0.01280,0.01145,0.03125
S3_R3 H4 PM1/F/1,pm,32038.89676,38.29823,46667.95785,40706.95086,1.03931,10.98658,421.55194,457.53330,2.18758,91.05321,356.60584,2.37218,0.75619,8.19618,36.02085,134.85702,432.94566,0.06094,12.31307,0.18595,22.25634,92.90937,0.10904,0.18170,0.01944,0.07818,0.05218,0.02213,0.04525,0.00785,0.04853,0.01289,0.03412,0.01045,0.04832,0.00908,0.01536,0.01244
S3_R5 H4 PM1/F/2,pm,33551.93467,27.72333,49463.33888,37386.80474,0.83856,9.49298,625.03667,440.49914,3.55268,49.18893,349.86917,1.64472,0.52559,4.35424,32.92086,142.93146,324.72512,0.11377,11.32079,0.08741,15.13539,102.48469,0.11668,0.12511,0.01801,0.06958,0.05919,0.01617,0.04060,0.00773,0.03348,0.01342,0.03514,0.00929,0.06267,0.01211,0.00972,0.00756
S3_R3 H4 PM3/F,pm,31356.38300,32.84842,38004.43015,37914.11447,0.82333,8.13453,616.69457,495.26586,10.06521,91.26119,405.58269,2.33212,0.38776,8.27231,37.79099,138.94656,415.57435,0.09010,11.24930,0.12164,20.89821,91.78699,0.10072,0.13937,0.01787,0.09777,0.04585,0.02698,0.03640,0.00833,0.03877,0.01011,0.03456,0.00699,0.04789,0.01371,0.01238,0.03798
S3_R3 H4 PM3/B1,pm,23930.10357,38.32566,37261.58303,41859.22660,1.12885,7.75353,508.67632,468.46373,2.42050,63.73297,400.30020,1.16514,0.84527,6.47349,24.50300,127.43499,313.69130,0.07962,8.28209,0.10520,16.94795,57.14610,0.09872,0.11832,0.02459,0.08938,0.05372,0.01469,0.05949,0.00577,0.03333,0.00978,0.04696,0.00828,0.03868,0.00947,0.00811,0.02520
S3_R3 H4 PM3/B2,pm,28054.85599,29.46275,32462.47144,45336.85475,0.88452,7.20745,434.76133,471.25817,4.02145,91.13253,452.47643,2.64269,0.84498,5.96997,34.25912,109.31547,420.76860,0.11238,9.64243,0.18633,16.99012,83.95671,0.11055,0.19854,0.02081,0.09586,0.04145,0.01770,0.06126,0.01102,0.04097,0.01130,0.04400,0.01402,0.03388,0.01137,0.00540,0.02314
S3_R2 H5 NTH1/1,nth,18256.37462,37.35236,17249.70866,57586.81388,0.78656,9.15532,433.40449,598.63815,2.73761,101.44223,448.76786,2.87976,0.74988,2.97714,21.89447,8.09603,597.54511,0.09481,2.77355,0.18387,8.95109,143.68402,0.12993,0.36593,0.02022,0.08489,0.06738,0.02689,0.04412,0.00664,0.04856,0.01082,0.02711,0.00993,0.09706,0.01163,0.00714,0.01127
S3_R2 H5 NTH1/2,nth,19169.40745,36.93505,17405.14963,68438.62082,0.88305,11.23627,473.50467,637.86566,2.77756,76.93116,410.77764,3.20288,0.68494,11.39457,36.01546,9.03879,623.75061,0.11495,2.33550,0.30035,8.89364,144.28126,0.11513,0.17319,0.02115,0.08538,0.04797,0.03638,0.07555,0.00711,0.06360,0.00947,0.02781,0.00524,0.05463,0.00927,0.01198,0.03426
S3_R2 H5 NTH1/3,nth,20249.57132,44.17569,16112.56414,67761.48808,0.75399,9.43232,477.24725,636.15554,3.37539,148.74201,450.46729,3.46385,0.52582,10.97304,51.39864,8.88744,697.25062,0.13206,2.20511,0.14244,9.92466,130.92865,0.12510,0.20922,0.02042,0.10927,0.06462,0.02336,0.07442,0.01017,0.04210,0.00939,0.02861,0.01159,0.06972,0.00528,0.01476,0.03087
S3_R2 H5 NTH2/1,nth,19822.42518,45.12222,17481.85598,60162.19009,0.96973,5.78980,415.68429,534.10717,4.13262,51.96512,443.07371,2.56529,0.47013,8.56590,30.70341,9.74487,622.55730,0.09985,2.06931,0.28093,8.08276,127.68225,0.12324,0.15861,0.02420,0.08013,0.07490,0.01998,0.10677,0.00870,0.03888,0.01303,0.02665,0.00841,0.03167,0.00949,0.03450,0.07612
S3_R2 H5 NTH2/2,nth,20183.24181,38.42474,18508.87805,69393.52804,0.68774,6.68732,388.01082,542.73858,4.44037,74.55981,516.95974,2.77354,0.41479,8.61035,25.93296,10.89810,600.30836,0.09539,2.23120,0.25666,7.52134,149.63172,0.18724,0.19108,0.02353,0.09874,0.03733,0.01573,0.05101,0.00992,0.03803,0.00786,0.03186,0.00939,0.03235,0.00701,0.03582,0.02433
S3_R2 H5 NTH2/3,nth,19103.12017,40.34832,18039.28287,69633.60069,0.92215,7.31480,230.08498,562.22527,3.57275,60.06443,495.00727,3.19531,0.68162,7.02512,32.08323,9.36338,665.33878,0.07214,1.96548,0.10321,8.42824,117.29573,0.12242,0.20711,0.02369,0.08383,0.05444,0.02602,0.03551,0.00698,0.04206,0.00942,0.02908,0.01268,0.08498,0.01139,0.01845,0.04070
S3_R2 H5 NTH3/1,nth,20855.65585,26.31776,17074.93952,60903.50580,0.83224,7.30436,350.65121,570.47105,2.91753,46.62336,541.80945,2.52866,0.79892,6.18502,30.82906,14.50357,429.94857,0.07944,2.71186,0.09770,6.17419,100.52010,0.12645,0.13110,0.01573,0.10008,0.05722,0.02670,0.06545,0.01009,0.04235,0.01024,0.02624,0.00729,0.05707,0.00774,0.01681,0.03306
S3_R2 H5 NTH3/2,nth,21420.33063,26.88450,19032.06220,46306.57983,0.81370,11.14104,365.88145,666.52250,3.52548,198.35694,503.44440,2.37171,0.66984,4.78001,59.85927,15.84275,508.82851,0.10318,2.02658,0.14465,9.76732,120.65445,0.11628,0.10055,0.02193,0.06903,0.06611,0.04280,0.03103,0.00709,0.03658,0.00932,0.02765,0.01028,0.04659,0.01021,0.07216,0.03948
S3_R2 H5 NTH3/3,nth,21131.60362,36.34265,18555.35090,40639.99005,0.78180,11.29812,501.97750,698.39512,3.66278,97.42647,617.79660,2.19178,0.65660,9.30165,23.61634,21.92228,404.13428,0.08643,2.40412,0.12543,7.64552,96.55301,0.06232,0.18276,0.02395,0.09009,0.05134,0.02391,0.08573,0.00556,0.05489,0.00918,0.02285,0.01125,0.02828,0.01081,0.02122,0.05534
S3_R4 H5 PM1/1,pm,29192.86493,26.12912,25183.54108,29001.97206,0.79980,10.12863,1251.27066,459.61605,2.86705,64.46260,308.19051,1.61657,0.90241,8.86576,21.21441,91.58987,313.97728,0.09977,5.33441,0.14079,12.67698,80.50299,0.11211,0.11982,0.01884,0.12868,0.07103,0.02659,0.06028,0.00965,0.03994,0.01800,0.02837,0.00773,0.04871,0.00705,0.00897,0.04738
S3_R4 H5 PM1/2,pm,28110.41823,37.81173,24770.91513,27418.85446,0.88735,8.67898,914.56584,472.78973,2.59016,71.79184,283.13569,2.37954,0.52859,8.00516,35.78658,79.05226,243.64484,0.07484,11.66697,0.14842,13.40570,98.42942,0.10341,0.14303,0.02408,0.06948,0.07414,0.02667,0.05395,0.00768,0.05255,0.01220,0.03011,0.00797,0.04699,0.01004,0.01086,0.05196
S3_R4 H5 PM1/3,pm,28301.40320,36.05409,33163.18244,34900.40364,0.85225,9.95510,1155.20758,469.25709,3.61375,108.89619,334.05081,3.01257,0.79690,6.17028,37.99369,112.07117,302.96567,0.09397,4.38352,0.01982,13.70795,99.72468,0.12526,0.14522,0.02149,0.10418,0.07011,0.03360,0.03844,0.01134,0.05928,0.00929,0.04224,0.00746,0.05510,0.00766,0.01344,0.01821
S3_R4 H5 PM2/1,pm,27378.24772,29.34983,18088.13516,31741.88283,0.79762,11.37632,1693.53694,684.51857,2.27238,283.56569,380.11445,2.05257,1.19487,7.38500,81.42980,103.84692,290.58184,0.03968,6.90216,0.30506,6.79118,78.63947,0.09837,0.12840,0.01859,0.09213,0.04434,0.02309,0.06349,0.00545,0.02973,0.00837,0.01835,0.00976,0.03590,0.01361,0.00614,0.08124
S3_R4 H5 PM2/2,pm,24522.17603,28.81059,21489.14891,26220.49805,0.80894,11.61160,1235.69006,549.08160,2.46123,59.37354,372.06476,2.44555,0.88153,5.39976,69.59800,107.47971,292.78881,0.08730,5.82922,0.16067,6.63369,100.63924,0.11322,0.14922,0.02402,0.08563,0.06176,0.01721,0.06583,0.00941,0.05871,0.01103,0.02014,0.01229,0.05702,0.01146,0.00944,0.01406
